day,policy,selected,labelled,rallies,rally_rate_pct,rally_after_spread_pct,median_abs_close_move_pct,median_spread_pct
2026-09-02,activity,632,580,110,18.96551724137931,17.75862068965517,0.3033773483477442,0.07455500000000001
2026-09-02,recent_range,632,556,94,16.906474820143885,14.748201438848922,0.2816217694516676,0.082815
2026-09-02,fresh_movement,632,555,83,14.954954954954955,13.333333333333334,0.2245629043469033,0.08035500000000001
2026-09-02,renewed_volume,632,554,66,11.913357400722022,10.108303249097473,0.20974136971739776,0.07813
2026-09-02,efficient_movement,632,558,73,13.082437275985665,11.827956989247312,0.23143972459112594,0.07007
2026-09-02,volume_and_range,632,554,67,12.093862815884476,10.108303249097473,0.2002274650438285,0.077815
2026-09-02,compression_expansion,632,557,58,10.412926391382406,8.258527827648116,0.17907932160539097,0.07178000000000001
2026-09-02,liquidity,632,610,80,13.114754098360656,12.295081967213115,0.19017104883961022,0.04281
2026-09-03,activity,651,615,130,21.138211382113823,17.073170731707318,0.30933333333333923,0.08624
2026-09-03,recent_range,651,596,118,19.798657718120804,16.10738255033557,0.3152884413338275,0.09324
2026-09-03,fresh_movement,651,604,95,15.728476821192054,12.08609271523179,0.24256050115744054,0.08937
2026-09-03,renewed_volume,651,600,83,13.833333333333334,10.666666666666668,0.2119163856950823,0.0869
2026-09-03,efficient_movement,651,602,89,14.784053156146179,12.12624584717608,0.23542466597382128,0.08333
2026-09-03,volume_and_range,651,592,84,14.18918918918919,10.97972972972973,0.2298884752909569,0.08807
2026-09-03,compression_expansion,651,597,69,11.557788944723619,8.542713567839195,0.1840349666436758,0.07728
2026-09-03,liquidity,651,641,97,15.132605304212168,13.416536661466457,0.22066738428416777,0.04579
2026-09-07,activity,650,597,127,21.273031825795645,19.765494137353436,0.34907336887535223,0.092265
2026-09-07,recent_range,650,589,108,18.33616298811545,16.808149405772497,0.3412698412698423,0.0973
2026-09-07,fresh_movement,650,586,101,17.235494880546078,15.187713310580206,0.2861966723835374,0.09628
2026-09-07,renewed_volume,650,586,79,13.48122866894198,11.433447098976108,0.24008835966792264,0.09321499999999999
2026-09-07,efficient_movement,650,590,103,17.457627118644066,15.254237288135593,0.2552539943387888,0.0871
2026-09-07,volume_and_range,650,585,89,15.213675213675213,13.333333333333334,0.2501250625312701,0.092525
2026-09-07,compression_expansion,650,584,82,14.04109589041096,11.815068493150685,0.2251686646441542,0.087065
2026-09-07,liquidity,650,636,107,16.82389937106918,15.09433962264151,0.2576881003742093,0.054790000000000005
2026-09-08,activity,600,575,130,22.608695652173914,20.695652173913043,0.3455652460095271,0.07416
2026-09-08,recent_range,600,557,121,21.723518850987432,19.03052064631957,0.3938730853391692,0.089615
2026-09-08,fresh_movement,600,558,113,20.25089605734767,17.38351254480287,0.3236286567306679,0.08802499999999999
2026-09-08,renewed_volume,600,556,115,20.68345323741007,17.086330935251798,0.3263106445748343,0.088725
2026-09-08,efficient_movement,600,563,129,22.912966252220247,19.538188277087034,0.29990003332220905,0.075435
2026-09-08,volume_and_range,600,549,100,18.21493624772313,14.754098360655737,0.3005259203606281,0.08922
2026-09-08,compression_expansion,600,557,82,14.721723518850988,12.387791741472173,0.23495528270427446,0.083115
2026-09-08,liquidity,600,589,97,16.468590831918505,15.449915110356535,0.2638439551465144,0.045355
2026-09-09,activity,660,625,117,18.72,16.32,0.2821670428893919,0.089395
2026-09-09,recent_range,660,607,124,20.42833607907743,17.462932454695224,0.2767828069032974,0.09384
2026-09-09,fresh_movement,660,621,101,16.264090177133657,13.526570048309178,0.24549918166940632,0.092195
2026-09-09,renewed_volume,660,625,115,18.4,13.76,0.22916666666668029,0.08551500000000001
2026-09-09,efficient_movement,660,625,106,16.96,14.399999999999999,0.22296544035674826,0.07575000000000001
2026-09-09,volume_and_range,660,621,99,15.942028985507244,12.560386473429952,0.21457639659636651,0.082205
2026-09-09,compression_expansion,660,626,86,13.738019169329075,10.223642172523961,0.18284230681419045,0.08015
2026-09-09,liquidity,660,658,83,12.613981762917934,11.55015197568389,0.17993833688669802,0.039325
2026-09-10,activity,660,635,143,22.51968503937008,20.94488188976378,0.3931663936344476,0.071275
2026-09-10,recent_range,660,620,139,22.419354838709676,20.161290322580644,0.4133503367650948,0.08232500000000001
2026-09-10,fresh_movement,660,625,108,17.28,14.879999999999999,0.29415884577670415,0.08084
2026-09-10,renewed_volume,660,617,120,19.448946515397083,17.3419773095624,0.27304257988338687,0.07965
2026-09-10,efficient_movement,660,623,118,18.940609951845907,16.693418940609952,0.3141113020802444,0.07350499999999999
2026-09-10,volume_and_range,660,619,116,18.73990306946688,16.80129240710824,0.28300551860761525,0.08267
2026-09-10,compression_expansion,660,618,86,13.915857605177994,11.974110032362459,0.2115106362672703,0.07561
2026-09-10,liquidity,660,659,121,18.361153262518968,16.99544764795144,0.282110852970463,0.049125
